Date,España,Italia
2020-10-31 00:00:00+00:00,1185678,679430
2020-11-01 00:00:00+00:00,1185678,709335
2020-11-02 00:00:00+00:00,1240697,731588
2020-11-03 00:00:00+00:00,1259366,759829
2020-11-04 00:00:00+00:00,1284408,790377
2020-11-05 00:00:00+00:00,1306316,824879
2020-11-06 00:00:00+00:00,1328832,862681
2020-11-07 00:00:00+00:00,1328832,902490
2020-11-08 00:00:00+00:00,1328832,935104
2020-11-09 00:00:00+00:00,1381218,960373
2020-11-10 00:00:00+00:00,1381218,995463
2020-11-11 00:00:00+00:00,1417709,1028424
2020-11-12 00:00:00+00:00,1437220,1066401
2020-11-13 00:00:00+00:00,1458591,1107303
2020-11-14 00:00:00+00:00,1458591,1144552
2020-11-15 00:00:00+00:00,1458591,1178529
2020-11-16 00:00:00+00:00,1496864,1205881
2020-11-17 00:00:00+00:00,1510023,1238072
2020-11-18 00:00:00+00:00,1525341,1272352
2020-11-19 00:00:00+00:00,1541574,1308528
2020-11-20 00:00:00+00:00,1556730,1345767
2020-11-21 00:00:00+00:00,1556730,1380531
2020-11-22 00:00:00+00:00,1556730,1408868
2020-11-23 00:00:00+00:00,1582616,1431795
2020-11-24 00:00:00+00:00,1594844,1455022
2020-11-25 00:00:00+00:00,1605066,1480874
2020-11-26 00:00:00+00:00,1617355,1509875
2020-11-27 00:00:00+00:00,1628208,1538217
2020-11-28 00:00:00+00:00,1628208,1564532
2020-11-29 00:00:00+00:00,1628208,1585178
2020-11-30 00:00:00+00:00,1648187,1601554
2020-12-01 00:00:00+00:00,1656444,1620901
2020-12-02 00:00:00+00:00,1665775,1641610
2020-12-03 00:00:00+00:00,1675902,1664829
2020-12-04 00:00:00+00:00,1684647,1688939
2020-12-05 00:00:00+00:00,1684647,1709991
2020-12-06 00:00:00+00:00,1684647,1728878
2020-12-07 00:00:00+00:00,1702328,1742557
2020-12-08 00:00:00+00:00,1702328,1757394
2020-12-09 00:00:00+00:00,1712101,1770149
2020-12-10 00:00:00+00:00,1720056,1787147
2020-12-11 00:00:00+00:00,1730575,1805873
2020-12-12 00:00:00+00:00,1730575,1825775
2020-12-13 00:00:00+00:00,1730575,1843712
2020-12-14 00:00:00+00:00,1751884,1855737
2020-12-15 00:00:00+00:00,1762212,1870576
2020-12-16 00:00:00+00:00,1773290,1888144
2020-12-17 00:00:00+00:00,1785421,1906377
2020-12-18 00:00:00+00:00,1797236,1921778
2020-12-19 00:00:00+00:00,1797236,1938083
2020-12-20 00:00:00+00:00,1797236,1953185
2020-12-21 00:00:00+00:00,1819249,1964054
2020-12-22 00:00:00+00:00,1829903,1977370
2020-12-23 00:00:00+00:00,1842289,1991278
2020-12-24 00:00:00+00:00,1854951,2009317
2020-12-25 00:00:00+00:00,1854951,2028354
2020-12-26 00:00:00+00:00,1854951,2038759
2020-12-27 00:00:00+00:00,1854951,2047696
2020-12-28 00:00:00+00:00,1879413,2056277
2020-12-29 00:00:00+00:00,1893502,2067487
2020-12-30 00:00:00+00:00,1910218,2083689
2020-12-31 00:00:00+00:00,1928265,2107166
2021-01-01 00:00:00+00:00,1928265,2129376
2021-01-02 00:00:00+00:00,1928265,2141201
2021-01-03 00:00:00+00:00,1928265,2155446
2021-01-04 00:00:00+00:00,1958844,2166244
2021-01-05 00:00:00+00:00,1982544,2181619
2021-01-06 00:00:00+00:00,1982544,2201945
2021-01-07 00:00:00+00:00,2024904,2220361
2021-01-08 00:00:00+00:00,2050360,2237890
